Test utterance,Grammar reference,WDR (utterance vs reference),F5-decoded,F5 WER,F5 CER,M5-decoded,M5 WER,M5 CER,F3-decoded,F3 WER,F3 CER,M2-decoded,M2 WER,M2 CER,F1-decoded,F1 WER,F1 CER,M1-decoded,M1 WER,M1 CER,M3-decoded,M3 WER,M3 CER,F4-decoded,F4 WER,F4 CER,M4-decoded,M4 WER,M4 CER,F2-decoded,F2 WER,F2 CER
kunnen we ook stoppen bij station heyendaal,kunnen we onderweg stoppen bij station heyendaal,0.14285714285714285,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij een han,0.2857142857142857,0.2857142857142857,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij het station heyendaal,0.14285714285714285,0.14285714285714285,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0,kunnen we onderweg stoppen bij station heyendaal,0.0,0.0
ik wil eerst nog langs station heyendaal,ik wil eerst nog langs station heyendaal,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0
eerst wil ik nog langs station heyendaal,ik wil eerst nog langs station heyendaal,0.2857142857142857,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0
ik wil eerst langs station heyendaal,ik wil eerst nog langs station heyendaal,0.16666666666666666,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0
ik wil eerst nog naar station heyendaal,ik wil eerst nog langs station heyendaal,0.14285714285714285,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil naar station heyendaal,0.42857142857142855,0.42857142857142855,ik wil eerst nog langs station heyendaal,0.0,0.0,ik wil eerst nog langs station heyendaal,0.0,0.0
hoeveel kost de reis,hoeveel kost de reis,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0
hoeveel kost deze reis,hoeveel kost de reis,0.25,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0,hoeveel kost de reis,0.0,0.0
hoe duur is het,hoe duur is het,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0
hoe duur is dat,hoe duur is het,0.25,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0
hoe duur,hoe duur is het,1.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe heet het hier,0.75,0.75,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0,hoe duur is het,0.0,0.0
hoeveel moet ik betalen,hoeveel moet ik betalen,0.0,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0
wat moet ik betalen,hoeveel moet ik betalen,0.25,wat is de volgende halte,1.25,1.25,hoeveel moet ik betalen,0.0,0.0,moet naar het han,1.0,1.0,hoeveel moet ik betalen,0.0,0.0,moet naar het han,1.0,1.0,moet naar het mercator,1.0,1.0,wat is de volgende halte,1.25,1.25,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0,hoeveel moet ik betalen,0.0,0.0
kunnen we om twaalf uur vertrekken,kunnen we om twaalf uur vertrekken,0.0,kunnen we om twaalf uur vertrekken,0.0,0.0,kunnen we om twaalf uur vertrekken,0.0,0.0,kunnen we om twaalf uur vertrekken,0.0,0.0,kunnen we om twaalf een vertrekken,0.16666666666666666,0.16666666666666666,kunnen we om twaalf uur vertrekken,0.0,0.0,kunnen we om twaalf uur vertrekken,0.0,0.0,kunnen we om twaalf uur vertrekken,0.0,0.0,kunnen we om twaalf uur vertrekken,0.0,0.0,kunnen we om twaalf uur vertrekken,0.0,0.0,kunnen we om twaalf uur vertrekken,0.0,0.0
kunnen we om half vijf vertrekken,kunnen we om half vijf vertrekken,0.0,kunnen we om half vijf vertrekken,0.0,0.0,kunnen we om half vijf vertrekken,0.0,0.0,kunnen we om half vijf vertrekken,0.0,0.0,kunnen we om half vijf vertrekken,0.0,0.0,kunnen we om half vijf vertrekken,0.0,0.0,kunnen we om half vijf vertrekken,0.0,0.0,kunnen we om half vijf vertrekken,0.0,0.0,kunnen we om half vijf vertrekken,0.0,0.0,kunnen we om half vijf vertrekken,0.0,0.0,kunnen we om half vijf vertrekken,0.0,0.0
kan je nog even wachten tot kwart over twaalf,kan je nog even wachten tot kwart over twaalf,0.0,kan je nog even wachten tot kwart over twaalf,0.0,0.0,kan je nog even wachten tot kwart voor twaalf,0.1111111111111111,0.1111111111111111,kan je nog even wachten tot kwart over twaalf,0.0,0.0,kan je nog even wachten tot kwart over twaalf,0.0,0.0,kan je nog even wachten tot kwart over twaalf,0.0,0.0,kan je nog even wachten tot kwart over twaalf,0.0,0.0,kan je nog even wachten tot kwart over twaalf,0.0,0.0,kan je nog even wachten tot kwart over twaalf,0.0,0.0,kan je nog even wachten tot kwart over twaalf,0.0,0.0,kan je nog even wachten tot kwart over twaalf,0.0,0.0
kan je nog even wachten tot zes uur,kan je nog even wachten tot zes uur,0.0,kan je nog even wachten tot zes uur,0.0,0.0,kan je nog even wachten tot zes uur,0.0,0.0,kan je nog even wachten tot zes uur,0.0,0.0,kan je nog even wachten tot zes uur,0.0,0.0,kan je nog even wachten tot zes uur,0.0,0.0,kan je nog even wachten tot zes uur,0.0,0.0,kan je nog even wachten tot zes uur,0.0,0.0,kan je nog even wachten tot zes uur,0.0,0.0,kan je nog even wachten tot zes uur,0.0,0.0,kan je nog even wachten tot zes uur,0.0,0.0
